project_name,k,best_solution_pso_sammon,best_solution_pso_kruskal,best_fitness_pso_sammon,best_fitness_pso_kruskal,best_solution_ga_sammon,best_solution_ga_kruskal,best_fitness_ga_sammon,best_fitness_ga_kruskal
AlbertMN_AssistantComputerControl,11,"[0.33345728 0.73361161 0.38634331 0.47455501 0.81622825 0.58609954
 0.40803371 0.50742075 0.59139056 0.80447529 0.82591982 0.81136439
 0.61565237 0.92857554]","[0.24352384 0.526162   0.19675003 0.28568685 0.49762983 0.63411244
 0.67905306 0.7424769  0.6625821  0.20125398 0.57802633 0.35199395
 0.41920767 0.62086598]",0.00024551668751377083,1.9242630795585518e-05,"[0.18191985 0.33284862 0.86468758 0.24539584 0.63547755 0.61043881
 0.11002201 0.9644405  0.60941686 0.63758398 0.21417088 0.32670285
 0.5739134  0.84988158]","[0.         0.14673854 0.         0.32414243 0.95937929 0.28422814
 0.27519676 0.04196137 0.62545888 0.11228638 0.07618753 0.22635163
 0.9586113  0.38891129]",0.0003167840081194584,1.1125308981306697e-05
AlbertMN_AssistantComputerControl,12,"[0.11141686 0.49578835 0.02665579 0.85698728 0.31946342 0.20611259
 0.78746546 0.75887895 0.61875041 0.35156086 0.20265391 0.74132952
 0.44239749 0.56414114]","[0.         0.75236586 0.6955947  0.06599267 0.40609758 0.01561369
 0.56717362 0.         0.05132958 0.         0.371253   0.33613687
 0.25053013 0.96570165]",0.00010989171678917247,5.248454807049799e-06,"[0.06462669 1.         0.14573392 0.40164205 0.48665124 0.61261175
 0.049896   0.51659035 0.3283151  0.50361835 0.51163583 0.63199782
 0.92824085 0.8218709 ]","[0.04595295 0.83211099 0.07750108 0.63502451 0.25649858 0.16943904
 0.48012558 0.84489257 0.9407315  0.89949575 0.26623447 0.14021851
 0.99461639 0.36672919]",0.00010692345345531341,4.3238839140556425e-06
AlbertMN_AssistantComputerControl,13,"[0.15566762 0.97544921 0.38612954 0.40188857 0.58944486 0.48091701
 0.8772664  0.97141379 0.67473462 0.45115056 0.17456455 0.73793382
 0.25537473 0.35660359]","[0.16960551 0.2287792  0.79593217 0.33792733 0.93176819 0.28683491
 0.64657061 0.92083904 0.18444836 0.99434177 0.25859664 0.39374113
 0.34432506 0.26498157]",2.598464970651086e-10,5.552209078765955e-11,"[0.2297493  0.656016   0.85336548 0.6175933  0.50598978 0.82810378
 0.42302001 0.69155611 0.72985287 0.93219979 0.26341923 0.86439109
 0.1345334  0.92542373]","[0.06561805 0.37945944 0.08571627 0.15743997 0.63122057 0.50111745
 0.96870865 0.08394351 0.8450896  0.35321061 0.08587702 0.81539001
 0.42150957 1.        ]",2.598464970651086e-10,5.552209078765955e-11
AlbertMN_AssistantComputerControl,14,"[0.05524604 0.94211559 0.67617791 0.57155489 0.12076792 0.72723911
 0.1399758  0.31712299 0.21517425 0.34965156 0.53384136 0.88623019
 0.40337937 0.38396987]","[0.1810157  0.10331442 0.01166243 0.59015803 0.11181569 0.09911683
 0.6442079  0.01372355 0.93773145 0.08312559 0.13190739 0.82383856
 0.37233678 0.27274987]",0.0,0.0,"[0.88550606 0.4786367  0.41492043 0.99640389 0.50859822 0.90772075
 0.71367308 0.75199844 0.62715421 0.55999321 0.67960647 0.72955893
 0.70959511 0.57453411]","[0.9167456  0.17363645 0.58159157 0.2612174  0.98415194 0.69551129
 0.24913079 0.13590933 0.10537722 0.82373304 0.         0.93174938
 0.24528737 0.32067286]",0.0,0.0
aloneguid_parquet-dotnet,1,"[0.81305807 0.65407721 0.71066539 0.93236519 0.35893555 0.14924174
 0.14808598 0.70850133 0.77223462 0.36741726 0.6848277  0.90296058
 0.93577137 0.92596212]","[0.22878019 0.27152969 0.69095142 0.3343308  0.88188094 0.86912885
 0.94069118 0.364299   0.09697812 0.10742674 0.41441938 0.94290839
 0.99084541 0.66859116]",0.3312652612335598,0.32646133746827205,"[0.14070017 0.82791946 0.93735403 0.47136488 0.58997006 0.84028347
 0.36029454 0.25053902 0.04114191 0.68470856 0.62415175 0.40232721
 0.99476214 0.53782399]","[0.14453055 0.         0.36441771 0.57353704 0.54406129 0.64129914
 0.79825559 0.29827429 0.51369724 0.79002375 0.75892421 0.40843544
 0.99697502 0.6197808 ]",0.3312652612335598,0.32646133746827205
aloneguid_parquet-dotnet,2,"[0.70966393 0.29793055 0.15189298 0.65982693 0.68286826 0.78213145
 0.4319612  0.66194573 0.41358109 0.39491343 0.45615727 0.6804415
 0.84156496 0.55630371]","[0.42874338 0.37090418 0.21222585 0.10447488 0.09619517 0.95715557
 0.90657349 0.771031   0.5174102  0.55913376 0.28687801 0.37956471
 0.93743483 0.54768902]",0.16927378653052386,0.15823464899846731,"[0.74315234 0.81524979 0.31468267 0.66154527 0.27003086 1.
 0.14626989 0.41470153 0.13288657 0.67766257 0.77707618 0.99998914
 1.         0.        ]","[0.         0.086002   0.27191186 0.59186564 0.41304928 1.
 0.16780244 0.79513578 0.56440303 0.28025439 0.33836468 0.74821562
 1.         0.        ]",0.16927378653052386,0.15823464899846731
aloneguid_parquet-dotnet,3,"[0.4161617  0.24104462 0.1237322  0.3687749  0.344543   0.74788939
 0.41675294 0.43063406 0.42114989 0.49209766 0.48652634 0.52359582
 0.64484979 0.23779666]","[0.34885049 0.65550617 0.55255002 0.71320415 0.43747148 0.97756019
 0.90621582 0.90261122 0.95540371 0.54932099 0.44236988 0.61366922
 0.99223295 0.15215601]",0.09333986075409814,0.1224562868061857,"[0.50575515 0.80956375 0.04506835 0.47060358 0.2264998  0.84976436
 0.37455272 0.07689945 0.75789419 0.09738079 0.2785302  0.86103619
 0.8593584  0.83033611]","[0.29853657 0.04044485 0.36887345 0.73414995 0.80197928 0.91247187
 0.44158987 0.10423966 0.75007462 0.         0.43412662 0.20358457
 0.88677432 0.40086881]",0.09333986075409814,0.0747491641925923
aloneguid_parquet-dotnet,4,"[0.80515461 0.31547126 0.53512814 0.61882471 0.78419033 0.80643716
 0.41308322 0.39185473 0.65465895 0.65700521 0.55483038 0.65743647
 0.4035093  0.59161338]","[0.62367581 0.05495786 0.63001883 0.88070778 0.65136169 0.68142889
 0.56079515 0.13475894 0.19766488 0.54537923 0.42164587 0.81691913
 0.70164358 0.44333052]",0.1035887558052582,0.03228345147285619,"[0.40182635 0.55193639 0.21380595 0.24244803 0.81862018 0.93504073
 0.58851192 0.31680652 0.77238386 0.55864567 0.12845835 1.
 0.85679425 0.14656852]","[0.         0.06634975 0.20922111 0.51374083 0.99337054 0.79432092
 0.         0.50205884 0.15489454 0.71333804 0.46074682 0.71900939
 1.         0.48810174]",0.0525374998384606,0.02990699985481169
aloneguid_parquet-dotnet,5,"[0.56517561 0.04112742 0.09471021 0.99027928 0.96092751 0.84828405
 0.00829828 0.02550819 0.77101246 0.04544771 0.69984498 0.92814551
 0.14982825 0.68495058]","[0.41921743 0.42033418 0.28560545 0.4845414  0.51498309 0.72127436
 0.48495576 0.20112909 0.69352468 0.44446729 0.24156424 0.64147882
 0.53993086 0.240428  ]",0.04534824603559045,0.018227433606257757,"[0.42246556 0.74811034 0.75435299 0.01161516 0.94960966 0.62599057
 0.34816443 0.15654474 0.52869903 0.06437235 0.19492628 0.67849821
 0.73248706 0.27523097]","[0.47446579 0.19102546 0.25354275 0.59310896 0.73170598 0.64108295
 0.39231069 0.51530436 0.17266916 0.35011061 0.19756376 0.83670039
 1.         0.42286623]",0.03082435781816376,0.009822218389110767
aloneguid_parquet-dotnet,6,"[0.15120446 0.17892782 0.17333802 0.90539697 0.21546716 0.34721796
 0.14565753 0.1359986  0.12938902 0.24042483 0.65233526 0.53273606
 0.78345143 0.83945978]","[0.31220005 0.34381478 0.36393603 0.28947499 0.41795086 0.40627245
 0.23308025 0.64787424 0.37370214 0.34897826 0.20775523 0.70328476
 0.48502226 0.2003401 ]",0.026054600190532205,0.01691752547825238,"[0.04361485 0.47267943 0.         0.50445447 0.8902741  0.90172649
 0.32347406 0.01091547 1.         0.3012421  0.34972323 0.8557114
 1.         0.        ]","[0.03204122 0.31772548 0.79627024 0.99076249 1.         0.81159804
 0.         0.49690184 0.91706633 0.49556321 0.4391321  0.93776931
 0.89208201 0.76636251]",0.019130820685660535,0.0037557108127822822
aloneguid_parquet-dotnet,7,"[0.54244692 0.10134135 0.63424322 0.75464829 0.76620164 0.72319335
 0.43771109 0.31866926 0.81308162 0.36073564 0.82001022 0.91183112
 0.78754275 0.25099735]","[0.46113899 0.47231702 0.42944832 0.5799997  0.60619446 0.71936776
 0.46885113 0.38465457 0.67029364 0.66113031 0.39801904 0.55425334
 0.86709715 0.24944629]",0.009711788926088033,0.0035746553049978997,"[0.11987992 0.78352948 0.31914822 0.89365143 0.93049758 1.
 0.51408595 0.17316956 0.97382605 0.19150142 0.         0.61390111
 1.         0.        ]","[0.20395825 0.2824335  0.24589572 0.67779371 0.88198827 0.53394103
 0.08601335 0.27939163 0.8587319  0.11432795 0.18802622 0.6754993
 0.68411698 0.11332912]",0.009711788926088033,0.0028874951581738363
aloneguid_parquet-dotnet,8,"[0.0259886  0.         0.45775006 0.58932354 0.73225668 0.86479263
 0.40970748 0.44691682 0.52645416 0.14533502 0.95202194 0.89851355
 0.702598   0.55374679]","[0.27917903 0.48807616 0.14941839 0.74159359 0.7892921  0.55468167
 0.38116761 0.94054367 0.5104174  0.46367325 0.74859876 0.95745115
 0.32676935 0.94623525]",0.0051933754593578305,0.012263184447764511,"[0.40485483 0.47370285 0.0466818  0.85420101 0.72419646 0.5521145
 0.54653447 0.16012068 0.71187543 0.38480842 0.72502453 0.58828632
 0.72037178 0.99154889]","[0.0608868  0.28620296 0.23352552 0.57247558 0.59082825 0.96200881
 0.29101688 0.12990353 1.         0.05891664 0.34469485 0.38560927
 1.         0.93227096]",0.0051933754593578305,0.0006491078698388686
aloneguid_parquet-dotnet,9,"[0.36076104 0.22099524 0.49534357 0.5246539  0.61990508 0.48786184
 0.21155654 0.31809644 0.45055323 0.42701024 0.71102117 0.74152417
 0.51486336 0.71156206]","[0.25801875 0.25748698 0.51392789 0.99070444 0.33574382 0.27753741
 0.51902047 0.59114897 0.10836507 0.19536893 0.58404756 0.40208309
 0.88341578 0.13247868]",0.002747909452954487,0.005995595262412609,"[0.24433192 0.65427954 0.31324088 0.40391211 0.940671   0.36182307
 0.35181058 0.         0.95537117 0.25523873 0.82783443 0.35622305
 0.91285104 0.62699517]","[2.76926069e-01 6.21851867e-01 2.82845416e-01 5.55155531e-01
 6.75934300e-01 8.30794506e-01 5.05891476e-01 2.74244982e-04
 9.31717131e-01 1.91814307e-01 5.23143606e-01 8.93051265e-01
 1.00000000e+00 6.79890155e-01]",0.002637459495894637,0.00038488899599453175
aloneguid_parquet-dotnet,10,"[0.69604508 0.07835921 0.67870955 0.1275539  0.71323246 0.41763351
 0.07073434 0.72534461 0.08236431 0.04388413 0.41372015 0.23232843
 0.45530067 0.3469322 ]","[0.10429319 0.498674   0.47860101 0.30410048 0.76610764 0.34944336
 0.23611366 0.34560375 0.23701435 0.15758099 0.2275694  0.66342531
 0.50073487 0.80991459]",0.005117528504364661,0.00017353009218432268,"[0.         0.79345516 0.16878402 0.53491937 1.         0.
 0.18100543 0.36770623 0.44003423 0.40780997 1.         0.76276418
 1.         0.51439114]","[0.17849244 1.         0.19980806 0.83265281 0.67026518 0.63238885
 0.31740165 0.36605706 1.         0.19996167 0.68377681 1.
 1.         1.        ]",0.0015721464056783843,0.00015393466265153336
aloneguid_parquet-dotnet,11,"[0.02333545 0.11113728 0.31565879 0.59309435 0.57938375 0.7086941
 0.9823314  0.57114348 0.79132935 0.03961254 0.0051822  0.42311149
 0.52614187 0.65862782]","[0.8582134  0.63629724 0.05090645 0.88879386 0.71647791 0.52709406
 0.01333249 0.06037182 0.12982939 0.50284334 0.14341577 0.98260868
 0.19043975 0.72126337]",0.001344947906920907,0.0003393551771760454,"[0.10447211 0.34886874 0.340615   0.85706377 0.72792867 0.77561968
 0.         0.26956291 0.29663057 0.3782483  1.         0.44943912
 0.82478629 0.19464883]","[0.22957301 0.56645997 0.10082832 0.49511897 0.55866452 0.77547287
 0.26696662 0.35212861 0.40660685 0.22405215 0.64052142 0.75704107
 0.49367911 0.6005624 ]",0.0007658252370830438,7.475701086702182e-05
aloneguid_parquet-dotnet,12,"[0.31492448 0.5468351  0.37017589 0.77414388 0.60037215 0.63402515
 0.7031549  0.45444731 0.44648724 0.65466629 0.51804523 0.51133074
 0.66295405 0.43155466]","[0.3767747  0.64064215 0.41204427 0.44613648 0.55973392 0.38274776
 0.78090151 0.54735253 0.67009874 0.35483974 0.61590758 0.74402889
 0.41223513 0.74130561]",0.0005262527703592512,1.4498442379625002e-05,"[0.04430776 0.0842124  0.35581941 0.79379233 0.73603538 0.94531615
 0.01098394 0.21479286 0.40164845 0.1614852  0.67491807 0.25413353
 0.44071207 0.61692771]","[0.00669896 0.69694032 0.28606703 0.91242211 0.81363037 0.63250821
 0.14319123 0.83886757 0.36406599 0.04310322 1.         0.76751165
 0.50067106 0.86153254]",0.0001859097086662009,1.4498442379625002e-05
aloneguid_parquet-dotnet,13,"[0.19158852 0.31986719 0.35000455 0.96971815 0.43790837 0.80977138
 0.8717802  0.93365226 0.86996277 0.68310017 0.21060076 0.45709105
 0.31191464 0.86208873]","[0.03988464 0.10845231 0.68317935 0.33445906 0.65680232 0.06615986
 0.42082035 0.44639569 0.77782273 0.40211045 0.38311849 0.56712974
 0.22923721 0.80427972]",3.374361045707636e-09,1.2424018435972063e-09,"[0.04765969 0.71913576 0.1043924  0.38473092 0.19324668 0.46780244
 0.44022239 0.40414359 0.49588085 0.79672986 0.67645711 0.50432943
 0.35568349 0.23084091]","[0.         0.65982014 0.164039   0.43329085 0.30835871 0.73883328
 0.07232153 0.7670825  0.51014238 0.13498066 0.56819586 0.59372572
 0.25488813 0.17163866]",3.374361045707636e-09,1.2424018435972063e-09
aloneguid_parquet-dotnet,14,"[0.00093234 0.26694877 0.52509948 0.48013039 0.01679225 0.65301225
 0.92069714 0.80312076 0.49314311 0.80155732 0.85891014 0.22827183
 0.52008282 0.25145881]","[0.93009039 0.78116171 0.56879637 0.82715276 0.45497124 0.72636214
 0.18754463 0.23061371 0.67611573 0.71620863 0.83009538 0.99399488
 0.58995258 0.62030997]",0.0,0.0,"[0.         0.80100952 0.41204457 0.52673056 0.71347808 0.30692525
 0.92039691 0.52004974 0.72180524 0.84474292 0.16245089 0.18270376
 0.4987816  0.74516974]","[0.35087888 0.08333983 0.18013151 0.56362134 0.8194662  0.10371319
 0.721142   0.10805751 0.64676813 0.76926592 0.56208322 0.69295694
 0.26054358 0.2176804 ]",0.0,0.0
AlturosDestinations_Alturos.Yolo,1,"[0.23889987 0.70186644 0.02226959 0.82927414 0.45997771 0.64847971
 0.38199016 0.73356099 0.64979842 0.06300775 0.19240519 0.59643838
 0.98083464 0.84311408]","[0.66494873 0.11825544 0.91952548 0.68078557 0.24153241 0.5143012
 0.86808453 0.59735121 0.56561053 0.51797769 0.41057106 0.92420456
 0.93491066 0.61515096]",0.26069113558926804,0.2606040282306025,"[0.91167621 0.64755818 0.71960119 0.2216287  0.05108803 0.294126
 0.70865334 0.37585116 0.49378905 0.80205567 0.88142112 0.38981517
 0.99712094 0.05759512]","[0.20576476 0.29647282 0.02890284 0.2731113  0.68713824 0.11538463
 0.93456657 0.51969114 0.81654092 0.20928599 0.35961707 0.73174812
 0.97633095 0.36153954]",0.26069113558926804,0.2606040282306025
AlturosDestinations_Alturos.Yolo,2,"[0.6627164  0.20790543 0.         0.50898579 1.         1.
 0.13556285 0.80141045 0.84833095 0.56225485 0.         0.69147961
 1.         0.4058297 ]","[0.37271221 0.23842898 0.23794076 0.35225276 0.3036049  0.28189381
 0.22247183 0.53339757 0.37876504 0.17568548 0.30775013 0.53724154
 0.86996503 0.37772756]",0.10118238200867118,0.14912855221227497,"[0.27061044 0.16060346 0.22233414 0.         0.48827867 0.63801071
 0.         0.         0.47409741 0.20614421 0.         0.55676151
 0.77943515 0.12523278]","[0.85314485 0.44949707 0.84145832 0.35909812 0.60491217 0.89001177
 0.12441783 0.1972319  0.62524852 0.33113303 0.85469764 0.68321619
 0.94516858 0.67062737]",0.10118238200867118,0.09580340221035327
AlturosDestinations_Alturos.Yolo,3,"[0.84695706 0.27895045 0.62572271 0.96094818 0.94671139 0.05503563
 0.13755948 0.22327365 0.0591448  0.40779275 0.30760876 0.01233041
 0.8954998  0.72342641]","[0.5283866  0.31037721 0.52305927 0.67189948 0.9684041  0.75755519
 0.71548577 0.17866909 0.51189521 0.67146002 0.6881647  0.51653935
 0.85289131 0.31833588]",0.13852851623841822,0.04707171012892412,"[0.         0.23382926 0.70295004 0.7440313  0.96422713 1.
 0.23931584 0.56655459 0.01319297 0.75210946 0.01974389 1.
 1.         0.        ]","[0.46350206 0.31806511 0.37394042 0.41789191 0.48013613 0.99364778
 0.27405068 0.25096312 0.09694904 0.17268626 0.         0.94809564
 0.99619528 0.89379528]",0.046525230517809164,0.046963606294791446
AlturosDestinations_Alturos.Yolo,4,"[0.1058049  0.36012087 0.48052133 0.38230906 0.57681895 0.64446707
 0.38797006 0.47116424 0.76028736 0.46887098 0.39202979 0.50753319
 0.27648105 0.50502233]","[0.30700619 0.37694048 0.55653008 0.44304331 0.6177929  0.66324226
 0.28628776 0.49634103 0.50497645 0.35718916 0.47039286 0.68644365
 0.69851362 0.39323922]",0.04763412694573124,0.01845141395951326,"[0.46191743 0.03607638 0.29634423 0.3764549  0.52796297 0.81067509
 0.03105405 0.14436331 0.23737282 0.09274427 0.41789939 0.90854337
 0.97044734 0.15623983]","[0.14883145 0.00105197 0.42978507 0.45695971 0.7173489  0.82289094
 0.38123416 0.06384948 0.60434222 0.10240148 0.58083321 0.65689867
 0.88185351 0.13124194]",0.01955399205337319,0.01845141395951326
AlturosDestinations_Alturos.Yolo,5,"[0.36376344 0.1203498  0.29314733 0.2531766  0.2835003  0.37877489
 0.82531496 0.26734027 0.10879503 0.16810589 0.34280234 0.63121434
 0.74072352 0.57848921]","[0.38899852 0.46844279 0.44078569 0.47020156 0.54584133 0.54584582
 0.45273352 0.39388852 0.46564733 0.38162613 0.43710174 0.69351671
 0.80404244 0.54075021]",0.02832982748653626,0.005433120762082334,"[0.23473927 0.54326063 0.76629049 0.33646567 1.         0.77444723
 0.10821651 0.         0.99455352 0.37611422 0.17490743 0.9480868
 0.79651609 0.3815727 ]","[0.50488694 0.         0.4197188  0.23404898 0.86984195 0.93830072
 0.34695357 0.08080383 0.         0.01999305 0.53885309 0.69154327
 0.59123346 0.73929624]",0.01105714381567527,0.005433120762082334
AlturosDestinations_Alturos.Yolo,6,"[0.37467008 0.97847856 0.59944577 0.52126635 0.76955304 0.94327284
 0.18661756 0.29580107 0.1865714  0.69081994 0.46618343 0.62971286
 0.91350548 0.47400024]","[0.59840575 0.76369037 0.61987258 0.58007448 0.63926038 0.92706081
 0.25616945 0.26689079 0.64887532 0.49956766 0.48263251 0.82846961
 0.73137355 0.53512422]",0.012815348047641312,0.004406389034611526,"[0.         0.         0.21007563 0.31698557 0.52491074 0.57942394
 0.00152204 0.71019144 0.76696623 0.54901445 0.29453131 0.78888056
 0.61803106 0.68475724]","[0.18790422 0.49137236 0.37341552 0.46964323 0.87258294 0.70177453
 0.1832089  0.10233054 0.88700373 0.40398921 0.43917643 1.
 0.94096704 0.9921916 ]",0.007498737271409407,0.000477812304735856
